Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022]
Forest area (% of land area),AG.LND.FRST.ZS,Liechtenstein,LIE,40.625,41.875,41.873125,41.87375,41.875,41.875,41.875,41.875,41.875,41.875,41.875,..
Forest area (% of land area),AG.LND.FRST.ZS,Lithuania,LTU,..,32.2271857051691,34.7857997606701,34.853950518755,34.9082202713488,34.9605695859008,35.0569116074137,35.0950023950184,35.1325455126158,35.1485148514851,35.1807490816164,..
Forest area (% of land area),AG.LND.FRST.ZS,Luxembourg,LUX,..,33.6769652665025,34.4538272103664,34.4538272103664,34.4538272103664,34.4538272103664,34.4538272103664,34.4538272103664,34.4538272103664,34.4538272103664,34.4538272103664,..
Forest area (% of land area),AG.LND.FRST.ZS,"Macao SAR, China",MAC,..,..,..,..,..,..,..,..,..,..,..,..
Forest area (% of land area),AG.LND.FRST.ZS,Madagascar,MDG,23.5468755373663,22.4071774942394,21.5234204193881,21.5007012719147,21.4779821244414,21.4552767273977,21.4325541423169,21.4098315572362,21.3871261601925,21.3644035751117,21.3416925060158,..
Forest area (% of land area),AG.LND.FRST.ZS,Malawi,MWI,37.1414934238439,32.6866779804837,26.8954179041154,26.4499363597794,26.0044548154434,25.5589732711073,25.1134917267713,24.6680101824353,24.2225286380993,23.7770470937633,23.3315655494272,..
Forest area (% of land area),AG.LND.FRST.ZS,Malaysia,MYS,62.7560493075635,59.9341043981129,58.6138852533861,58.9283396743266,59.2427940952671,58.7875209252777,58.6348805356871,58.4822401460965,58.3295997565059,58.1769593669152,58.0243189773246,..
Forest area (% of land area),AG.LND.FRST.ZS,Maldives,MDV,2.73333333333333,2.73333333333333,2.73333333333333,2.73333333333333,2.73333333333333,2.73333333333333,2.73333333333333,2.73333333333333,2.73333333333333,2.73333333333333,2.73333333333333,..
Forest area (% of land area),AG.LND.FRST.ZS,Mali,MLI,10.896663634352,10.896663634352,10.896663634352,10.896663634352,10.896663634352,10.896663634352,10.896663634352,10.896663634352,10.896663634352,10.896663634352,10.896663634352,..
Forest area (% of land area),AG.LND.FRST.ZS,Malta,MLT,1.09375,1.09375,1.09375,1.09375,1.09375,1.1875,1.3125,1.4375,1.4375,1.4375,1.4375,..
Forest area (% of land area),AG.LND.FRST.ZS,Marshall Islands,MHL,..,52.2222222222222,52.2222222222222,52.2222222222222,52.2222222222222,52.2222222222222,52.2222222222222,52.2222222222222,52.2222222222222,52.2222222222222,52.2222222222222,..
Forest area (% of land area),AG.LND.FRST.ZS,Mauritania,MRT,0.461860871252547,0.409081206946735,0.34046764334918,0.335189676918599,0.329911710488018,0.324633744057437,0.319394586203551,0.314058406907927,0.308819249054041,0.303483069758417,0.298211603764432,..
Forest area (% of land area),AG.LND.FRST.ZS,Mauritius,MUS,20.2315270935961,20.6551724137931,19.1967951927892,19.1877816725088,19.1787681522283,19.1737606409614,19.3540310465699,19.3740610916375,19.3940911367051,19.4141211817727,19.4341512268403,..
Forest area (% of land area),AG.LND.FRST.ZS,Mexico,MEX,36.3135111499781,35.1764963090614,34.2477275650094,34.1847218292652,34.1217160935209,34.0559942385349,33.9902672393837,33.9245402402325,33.8588183852465,33.7930913860953,33.7273678335348,..
Forest area (% of land area),AG.LND.FRST.ZS,"Micronesia, Fed. Sts.",FSM,..,91.2285714285714,91.7342857142857,91.7742857142857,91.8142857142857,91.8571428571429,91.9,91.9428571428572,91.9857142857143,92.0285714285714,92.0714285714286,..
Forest area (% of land area),AG.LND.FRST.ZS,Moldova,MDA,..,10.4744525547445,11.6070559610706,11.6794403892944,11.7518248175182,11.7548661800487,11.7512921860748,11.7529716925191,11.7527572607105,11.7532218728523,11.7227782832878,..
Forest area (% of land area),AG.LND.FRST.ZS,Monaco,MCO,0,0,0,0,0,0,0,0,0,0,0,..
Forest area (% of land area),AG.LND.FRST.ZS,Mongolia,MNG,9.27468054822683,9.21774776141672,9.10613594411107,9.10542135370957,9.10469149761818,9.10397870509873,9.10326591257927,9.10255545816196,9.10182513109581,9.09965848797644,9.09894465963877,..
Forest area (% of land area),AG.LND.FRST.ZS,Montenegro,MNE,..,..,61.4869888475836,61.4869888475836,61.4869888475836,61.4869888475836,61.4869888475836,61.4869888475836,61.4869888475836,61.4869888475836,61.4869888475836,..
Forest area (% of land area),AG.LND.FRST.ZS,Morocco,MAR,12.2905892897154,12.3382030024647,12.7283038315035,12.7328388976025,12.7373739637015,12.7712077078199,12.7976473224289,12.8200537754873,12.8435805511987,12.8668832623796,12.8903354246023,..
Forest area (% of land area),AG.LND.FRST.ZS,Mozambique,MOZ,55.1616266944734,52.3767135481574,48.7714031384318,48.5088990055698,48.2463948727078,47.8500089015489,47.5680968488517,47.3361072255144,47.0079478114906,46.7251964699,46.412173122409,..
Forest area (% of land area),AG.LND.FRST.ZS,Myanmar,MMR,60.0093031796065,53.3526792545215,46.8118209101488,46.3682121639003,45.9246034176517,45.5018995680015,45.0601608579088,44.6197487360196,44.1758847862724,43.7340309804342,43.2901466284646,..
Forest area (% of land area),AG.LND.FRST.ZS,Namibia,NAM,10.6513743638329,9.78887633762101,8.6676213727848,8.58137229894691,8.49512322510901,8.40887172199347,8.32262021887792,8.23636871576237,8.15011721264682,8.06386570953127,7.97761420641572,..
Forest area (% of land area),AG.LND.FRST.ZS,Nauru,NRU,0,0,0,0,0,0,0,0,0,0,0,..
Forest area (% of land area),AG.LND.FRST.ZS,Nepal,NPL,39.6643356643357,40.3261946285316,41.5907220090687,41.5907220090687,41.5907220090687,41.5907220090687,41.5907220090687,41.5907220090687,41.5907220090687,41.5907220090687,41.5907220090687,..
Forest area (% of land area),AG.LND.FRST.ZS,Netherlands,NLD,10.2289691943128,10.6486966824645,10.9317304838231,10.8803799346987,10.8354618354618,10.8630828630829,10.8910008910009,10.9186219186219,10.9465399465399,10.974160974161,11.001980991981,..
Forest area (% of land area),AG.LND.FRST.ZS,New Caledonia,NCL,45.4666301969365,45.8342450765864,45.8818380743983,45.8763676148797,45.8708971553611,45.8654266958425,45.8599562363239,45.8544857768053,45.8490153172867,45.8435448577681,45.8380743982495,..
Forest area (% of land area),AG.LND.FRST.ZS,New Zealand,NZL,35.5940526375755,37.4100489916828,37.3977972731761,37.3966503361057,37.3955033990354,37.396035091717,37.411606091679,37.4279366526148,37.4673198891041,37.5701264669021,37.6306509437545,..
Forest area (% of land area),AG.LND.FRST.ZS,Nicaragua,NIC,53.176998504238,44.8672095728768,33.403506730929,32.9371281369453,32.4707495429616,31.6397706498255,30.8087917566894,29.9778128635533,29.1468339704172,28.315855077281,27.4848761841449,..
Forest area (% of land area),AG.LND.FRST.ZS,Niger,NER,1.53548590826557,1.04847240862083,0.921007341912055,0.911202336780611,0.901397331649167,0.891592326517723,0.881787321386279,0.871982316254835,0.862177311123392,0.852372305991948,0.842567300860504,..
Forest area (% of land area),AG.LND.FRST.ZS,Nigeria,NGA,29.1249052999111,27.3318620507922,25.0008915533011,24.8215861304171,24.6422807075332,24.4629795667402,24.2836830374299,24.1043842023782,23.9250853673265,23.7457865322749,23.5664876972232,..
Forest area (% of land area),AG.LND.FRST.ZS,North Macedonia,MKD,..,37.6543452615022,38.8902458366376,39.1596352101507,39.4290245836638,39.7172878667724,39.7101506740682,39.7101506740682,39.7101506740682,39.7101506740682,39.7101506740682,..
Forest area (% of land area),AG.LND.FRST.ZS,Northern Mariana Islands,MNP,..,69.4782608695652,64.8304347826087,64.4695652173913,64.1086956521739,52.9565217391304,52.9565217391304,52.9565217391304,52.9565217391304,52.9565217391304,52.9565217391304,..
Forest area (% of land area),AG.LND.FRST.ZS,Norway,NOR,33.2161513946841,33.1641313751903,33.2090866046879,33.2318108614437,33.2456439881958,33.271099733249,33.2945336229161,33.3172650284299,33.3399069828592,33.4353596771758,33.4581491750625,..
Forest area (% of land area),AG.LND.FRST.ZS,Oman,OMN,0.00969305331179321,0.00969305331179321,0.00969305331179321,0.00969305331179321,0.00969305331179321,0.00904684975767367,0.00872374798061389,0.00840064620355412,0.00807754442649435,0.00807754442649435,0.00786203554119548,..
Forest area (% of land area),AG.LND.FRST.ZS,Pakistan,PAK,6.46895755500208,5.85209111664591,5.18505085097551,5.14324667911997,5.10144250726443,5.01795350767954,4.99418845994188,4.94056143628061,4.88693441261934,4.83330738895807,4.7796803652968,..
Forest area (% of land area),AG.LND.FRST.ZS,Palau,PLW,..,86.0434782608696,88.7347826086957,88.9217391304348,89.1086956521739,89.304347826087,89.4782608695652,89.6739130434783,89.8478260869565,90.0217391304348,90.195652173913,..
Forest area (% of land area),AG.LND.FRST.ZS,Panama,PAN,61.9774011299435,59.7543718052193,57.7581651869788,57.775580140313,57.6215596330275,57.4676200755532,57.3135456017269,57.1133728767862,56.9594230250741,56.8056079805878,56.6517026152602,..
Forest area (% of land area),AG.LND.FRST.ZS,Papua New Guinea,PNG,80.3773351587687,80.1085684317449,79.6851269708078,79.6169098617674,79.5486925319083,79.4724197323676,79.3983791900367,79.3243386477057,79.2502981053747,79.1762575630438,79.1022170207128,..
Forest area (% of land area),AG.LND.FRST.ZS,Paraguay,PRY,64.2986659954694,57.8697457840423,46.1299974830103,45.0873244399698,44.0446513969293,43.6273093380317,42.6384847722124,41.9353888749056,41.2323181474956,40.5292222501888,39.8261432167128,..
Forest area (% of land area),AG.LND.FRST.ZS,Peru,PER,59.725421875,58.8264296875,57.4504984375,57.3168625,57.1832265625,57.03928125,56.902171875,56.77815625,56.643125,56.5081015625,56.373072890625,..
Forest area (% of land area),AG.LND.FRST.ZS,Philippines,PHL,26.0885065566623,24.5137337760338,23.2899956400711,23.4069960089882,23.5239963779052,23.6410101619881,23.758023946071,23.8750041922393,23.9920179763222,24.1090317604051,24.226045544488,..
Forest area (% of land area),AG.LND.FRST.ZS,Poland,POL,28.9986613993274,29.5765451043129,30.6443290552235,30.7057709265489,30.7652111434077,30.8142003331265,30.8533916849015,30.8946010386387,30.939858220901,30.9770358997811,31.0192747468148,..
Forest area (% of land area),AG.LND.FRST.ZS,Portugal,PRT,37.1475409836066,35.8579234972678,35.893158903643,36.0239985328408,36.154994891142,36.154994891142,36.154994891142,36.154994891142,36.154994891142,36.154994891142,36.154994891142,..
Forest area (% of land area),AG.LND.FRST.ZS,Puerto Rico,PRI,36.1138669673055,48.3821871476888,55.5702367531003,55.6250281848929,55.6798196166855,55.7350620067644,55.7903043968433,55.8455467869222,55.9007891770011,55.95603156708,56.011273957159,..
Forest area (% of land area),AG.LND.FRST.ZS,Qatar,QAT,0,0,0,0,0,0,0,0,0,0,0,..
Forest area (% of land area),AG.LND.FRST.ZS,Romania,ROU,27.7785044691519,27.7132036045449,29.3291135938791,29.6582406119611,29.9937413073714,30.1158292767733,30.1158292767733,30.1158292767733,30.1158292767733,30.1158292767733,30.1158292767733,..
Forest area (% of land area),AG.LND.FRST.ZS,Russian Federation,RUS,..,49.4018499097143,49.766073492676,49.763568252053,49.7610630114301,49.7726995451512,49.7843360788722,49.7843360788722,49.7843360788722,49.7843360788722,49.7843360788722,..
Forest area (% of land area),AG.LND.FRST.ZS,Rwanda,RWA,12.8496149169031,11.6335630320227,10.8633968382651,10.9039319010944,10.9444669639238,11.0255370895825,11.0660721524118,11.1066072152412,11.1471422780705,11.1876773408999,11.2282124037292,..
Forest area (% of land area),AG.LND.FRST.ZS,Samoa,WSM,62.2367491166078,60.5335689045936,58.3173144876325,58.1462897526502,57.9752650176678,57.8056537102473,58.6726618705036,58.5,58.3273381294964,58.1546762589928,57.9820143884892,..
Forest area (% of land area),AG.LND.FRST.ZS,San Marino,SMR,16.6666666666667,16.6666666666667,16.6666666666667,16.6666666666667,16.6666666666667,16.6666666666667,16.6666666666667,16.6666666666667,16.6666666666667,16.6666666666667,16.6666666666667,..
Forest area (% of land area),AG.LND.FRST.ZS,Sao Tome and Principe,STP,61.0625,60.7916666666667,58.5833333333333,57.9375,57.2916666666667,56.6458333333333,56,55.3541666666667,54.7083333333333,54.0625,53.4166666666667,..
Forest area (% of land area),AG.LND.FRST.ZS,Saudi Arabia,SAU,0.454484134921779,0.454484134921779,0.454484134921779,0.454484134921779,0.454484134921779,0.454484134921779,0.454484134921779,0.454484134921779,0.454484134921779,0.454484134921779,0.454484134921779,..
Forest area (% of land area),AG.LND.FRST.ZS,Senegal,SEN,48.3205734171298,45.9832753337142,43.3603074845479,43.1525476549109,42.944787825274,42.737027995637,42.5292681660001,42.3215083363632,42.1137485067262,41.9059886770893,41.6982288474523,..
Forest area (% of land area),AG.LND.FRST.ZS,Serbia,SRB,..,..,31.0646924308255,31.0796249714155,31.0945575120055,31.1019894809056,31.1211982620627,31.1227989938258,31.1253144294535,32.3778094898323,32.3812581757641,..
Forest area (% of land area),AG.LND.FRST.ZS,Seychelles,SYC,73.2608695652174,73.2608695652174,73.2608695652174,73.2608695652174,73.2608695652174,73.2608695652174,73.2608695652174,73.2608695652174,73.2608695652174,73.2608695652174,73.2608695652174,..
Forest area (% of land area),AG.LND.FRST.ZS,Sierra Leone,SLE,43.318093654752,40.5850651149903,37.0321695760599,36.7588805763369,36.485591576614,36.2122471598781,35.9389027431422,35.6655583264062,35.3922139096703,35.1188694929343,34.8455250761984,..
Forest area (% of land area),AG.LND.FRST.ZS,Singapore,SGP,22.1297014925373,25.3932835820895,24.015558698727,23.5898448519041,23.2318758815233,22.9696755994358,22.626404494382,22.3109243697479,21.9972067039106,21.6852367688022,21.4345403899721,..
Forest area (% of land area),AG.LND.FRST.ZS,Sint Maarten (Dutch part),SXM,..,..,10.8823529411765,10.8823529411765,10.8823529411765,10.8823529411765,10.8823529411765,10.8823529411765,10.8823529411765,10.8823529411765,10.8823529411765,..
Forest area (% of land area),AG.LND.FRST.ZS,Slovak Republic,SVK,..,39.5303534303534,39.9312510397604,39.9538685524126,39.9681793602596,40.0035357737105,40.05615640599,40.05615640599,40.05615640599,40.05615640599,40.05615640599,..
Forest area (% of land area),AG.LND.FRST.ZS,Slovenia,SVN,..,61.2214498510427,61.9463753723932,61.9563058589871,61.9582377647374,61.8592989772614,61.7699782998396,61.674380723466,61.5730716513379,61.4722591923085,61.3711140025029,..
Forest area (% of land area),AG.LND.FRST.ZS,Solomon Islands,SLB,90.9221150410861,90.6609503394069,90.3209717756341,90.2948195784209,90.2686673812076,90.242586638085,90.2165058949625,90.1904251518399,90.1643444087174,90.1382636655948,90.1121829224723,..
Forest area (% of land area),AG.LND.FRST.ZS,Somalia,SOM,13.2025695794944,11.9791500621672,10.388704689642,10.2663627379093,10.1440207861766,10.0216788344438,9.89933688271113,9.77699493097842,9.6546529792457,9.53231102751299,9.40996907578028,..
Forest area (% of land area),AG.LND.FRST.ZS,South Africa,ZAF,14.9552712494539,14.6552110725503,14.2651328425756,14.2351268248852,14.2051208071948,14.1751147895045,14.1451087718141,14.1151027541238,14.0850967364334,14.055090718743,14.0250847010527,..
Forest area (% of land area),AG.LND.FRST.ZS,South Sudan,SSD,..,..,11.3256215087114,11.3256215087114,11.3256215087114,11.3256215087114,11.3256215087114,11.3256215087114,11.3256215087114,11.3256215087114,11.3256215087114,..
Forest area (% of land area),AG.LND.FRST.ZS,Spain,ESP,27.8405013615249,34.256372745491,37.0821135123248,37.0844485316167,37.1275324670126,37.142868581403,37.1522339173654,37.1566467814769,37.1677215644695,37.1773054885498,37.1727521093233,..
Forest area (% of land area),AG.LND.FRST.ZS,Sri Lanka,LKA,37.4793493860628,34.546643278584,33.7863179716154,33.86668792856,34.3951658507424,34.3441099962839,34.2930541418254,34.2580499159447,34.2067102490331,34.1580989330747,34.1070158422244,..
Forest area (% of land area),AG.LND.FRST.ZS,St. Kitts and Nevis,KNA,42.3076923076923,42.3076923076923,42.3076923076923,42.3076923076923,42.3076923076923,42.3076923076923,42.3076923076923,42.3076923076923,42.3076923076923,42.3076923076923,42.3076923076923,..
Forest area (% of land area),AG.LND.FRST.ZS,St. Lucia,LCA,34.8688524590164,34.4426229508197,34.0491803278688,34.0491803278688,34.0491803278688,34.0491803278688,34.0491803278688,34.0491803278688,34.0491803278688,34.0491803278688,34.0491803278688,..
Forest area (% of land area),AG.LND.FRST.ZS,St. Martin (French part),MAF,..,..,24.8,24.8,24.8,24.8,24.8,24.8,24.8,24.8,24.8,..
Forest area (% of land area),AG.LND.FRST.ZS,St. Vincent and the Grenadines,VCT,70.6153846153846,73.1794871794872,73.1794871794872,73.1794871794872,73.1794871794872,73.1794871794872,73.1794871794872,73.1794871794872,73.1794871794872,73.1794871794872,73.1794871794872,..
Forest area (% of land area),AG.LND.FRST.ZS,Sudan,SDN,12.9323695286195,12.1982996632997,10.4702494646681,10.3769689507495,10.2836884368308,10.1971038543897,10.1049411134904,10.012778372591,9.92061563169165,9.82845289079229,9.73629014989293,..
Forest area (% of land area),AG.LND.FRST.ZS,Suriname,SUR,98.5745512820513,98.3389102564103,97.8906794871795,97.8288974358974,97.7671153846154,97.694358974359,97.6475641025641,97.5691025641026,97.4905769230769,97.4121153846154,97.3336108974359,..
Forest area (% of land area),AG.LND.FRST.ZS,Sweden,SWE,68.8933585407953,69.1388538853443,68.7809216729919,68.7352595389057,68.6944981353789,68.6944981353789,68.6944981353789,68.6944981353789,68.6990605243879,68.6990703076107,68.6990689582005,..
Forest area (% of land area),AG.LND.FRST.ZS,Switzerland,CHE,29.1809082231976,30.2649701705926,31.5107315281037,31.5982233630178,31.6857178507946,31.7732664163142,31.8603337971021,31.9474011778901,32.034468558678,32.1215359394659,32.2086033202538,..
Forest area (% of land area),AG.LND.FRST.ZS,Syrian Arab Republic,SYR,2.02459462400696,2.35107193383393,2.77775962533355,2.81043402494146,2.84310842454937,2.84310842454937,2.84310842454937,2.84310842454937,2.84310842454937,2.84310842454937,2.84310842454937,..
Forest area (% of land area),AG.LND.FRST.ZS,Tajikistan,TJK,..,2.92940840240069,2.97999428408117,3.0222068508351,3.0391238561856,3.0391238561856,3.0391238561856,3.0391238561856,3.0463289862382,3.0535341162908,3.0607392463434,..
Forest area (% of land area),AG.LND.FRST.ZS,Tanzania,TZA,64.7889026868368,60.5893090991194,55.1298306615489,54.7098690449311,54.2899074283134,53.7604425378189,53.2309776473245,52.70151275683,52.1720478663355,51.642582975841,51.1131180853466,..
Forest area (% of land area),AG.LND.FRST.ZS,Thailand,THA,37.8966117951027,37.1860870246041,39.2761651236078,39.2714674391748,39.2667697547417,39.1806455401358,39.1101802736401,39.0397150071444,38.9692497406487,38.8987844741529,38.8283192076572,..
Forest area (% of land area),AG.LND.FRST.ZS,Timor-Leste,TLS,64.7679892400807,63.8264963012777,62.6025554808339,62.5084061869536,62.4142568930733,62.320107599193,62.2461331540013,62.1318090114324,62.0376597175521,61.9435104236718,61.8493611297915,..
Forest area (% of land area),AG.LND.FRST.ZS,Togo,TGO,25.0351167494025,23.3216400073543,22.614267328553,22.5598455598456,22.5054237911381,22.4510020224306,22.3965802537231,22.3421584850156,22.2877367163081,22.2333149476007,22.1788931788932,..
Forest area (% of land area),AG.LND.FRST.ZS,Tonga,TON,12.4305555555556,12.4305555555556,12.4305555555556,12.4305555555556,12.4305555555556,12.4305555555556,12.4305555555556,12.4305555555556,12.4305555555556,12.4305555555556,12.4305555555556,..
Forest area (% of land area),AG.LND.FRST.ZS,Trinidad and Tobago,TTO,47.1851851851852,46.130604288499,45.0561403508772,44.9734892787524,44.8908382066277,44.8089668615984,44.7270955165692,44.64522417154,44.5633528265107,44.4814814814815,44.3996101364522,..
Forest area (% of land area),AG.LND.FRST.ZS,Tunisia,TUN,4.14506243563337,4.29872554067971,4.45429969104016,4.46414778578785,4.47399588053553,4.48384397528321,4.4936920700309,4.50354016477858,4.51338825952626,4.52323635427395,4.53308444902163,..
Forest area (% of land area),AG.LND.FRST.ZS,Turkiye,TUR,25.7051830100178,26.1792679599288,27.8203968140535,27.9626002104908,28.104803606928,28.104803606928,28.2635292283305,28.4660940971636,28.6687888985616,28.8714836999597,29.0741785013578,..
Forest area (% of land area),AG.LND.FRST.ZS,Turkmenistan,TKM,..,8.78215904496414,8.78215904496414,8.78215904496414,8.78215904496414,8.78215904496414,8.78215904496414,8.78215904496414,8.78215904496414,8.78215904496414,8.78215904496414,..
Forest area (% of land area),AG.LND.FRST.ZS,Turks and Caicos Islands,TCA,11.0736842105263,11.0736842105263,11.0736842105263,11.0736842105263,11.0736842105263,11.0736842105263,11.0736842105263,11.0736842105263,11.0736842105263,11.0736842105263,11.0736842105263,..
Forest area (% of land area),AG.LND.FRST.ZS,Tuvalu,TUV,33.3333333333333,33.3333333333333,33.3333333333333,33.3333333333333,33.3333333333333,33.3333333333333,33.3333333333333,33.3333333333333,33.3333333333333,33.3333333333333,33.3333333333333,..
Forest area (% of land area),AG.LND.FRST.ZS,Uganda,UGA,17.8943496321505,15.8297882988839,13.0992619190106,12.8935368043088,12.687811689607,12.4820965489727,12.2763814083383,12.070666267704,11.8649012567325,11.6591861160981,11.4534375623379,..
Forest area (% of land area),AG.LND.FRST.ZS,Ukraine,UKR,..,16.4149477863122,16.594282952427,16.6327746033938,16.6704068773844,16.6824906350878,16.6942862074918,16.7034863652054,16.7138419054194,16.7241974456334,16.7345529858474,..
Forest area (% of land area),AG.LND.FRST.ZS,United Arab Emirates,ARE,3.44973246972684,4.35694170656153,4.46775556181357,4.46775556181357,4.46775556181357,4.46775556181357,4.46775556181357,4.46775556181357,4.46775556181357,4.46775556181357,4.46775556181357,..
Forest area (% of land area),AG.LND.FRST.ZS,United Kingdom,GBR,11.4826602736329,12.2101434299177,12.8822386640764,12.9616004629438,13.0409622618113,13.0574959699087,13.0781631050304,13.1153639482495,13.1525647914686,13.1856322076634,13.2214553796553,..
Forest area (% of land area),AG.LND.FRST.ZS,United States,USA,33.0223082096657,33.1301735880689,33.8395963014708,33.8696594230942,33.8997225447175,33.8997225447175,33.8669264120375,33.8669264120375,33.8669264120375,33.8669264120375,33.8669264120375,..
Forest area (% of land area),AG.LND.FRST.ZS,Uruguay,URY,4.55947891669523,7.82196320420523,10.5389098388756,10.7545423380185,10.9701748371615,11.1244429208091,11.2444292080905,11.364415495372,11.4844017826534,11.6043880699349,11.7243743572163,..
Forest area (% of land area),AG.LND.FRST.ZS,Uzbekistan,UZB,..,6.7928870436847,7.96137580342781,8.05307155527101,8.05583295506128,8.1397486557828,8.19844389770035,8.25712061408984,8.31637366503615,8.37322137751049,8.43180461723851,..
Forest area (% of land area),AG.LND.FRST.ZS,Vanuatu,VUT,36.2838392124692,36.2838392124692,36.2838392124692,36.2838392124692,36.2838392124692,36.2838392124692,36.2838392124692,36.2838392124692,36.2838392124692,36.2838392124692,36.2838392124692,..
Forest area (% of land area),AG.LND.FRST.ZS,"Venezuela, RB",VEN,58.9830508474576,55.7235984354628,53.2983390964231,53.1119551045859,52.9255711127487,52.7671447196871,52.6366759254011,52.5341647298906,52.4596111331557,52.4130151351964,52.3477807380534,..
Forest area (% of land area),AG.LND.FRST.ZS,Viet Nam,VNM,28.8056775937817,37.8836880344628,44.0639521125592,44.4428488915694,44.8711640388917,45.8783548775157,45.9963369846492,46.2346815387217,46.4768416451573,46.7190017515929,46.9611618580284,..
Forest area (% of land area),AG.LND.FRST.ZS,Virgin Islands (U.S.),VIR,70.1142857142857,58.4857142857143,53.9085714285714,54.3257142857143,54.7428571428571,55.1714285714286,55.6,56.0285714285714,56.4571428571428,56.8857142857143,57.3142857142857,..
Forest area (% of land area),AG.LND.FRST.ZS,West Bank and Gaza,PSE,1.50830564784053,1.50830564784053,1.67176079734219,1.678073089701,1.6843853820598,1.6843853820598,1.6843853820598,1.6843853820598,1.6843853820598,1.6843853820598,1.68298755186722,..
Forest area (% of land area),AG.LND.FRST.ZS,"Yemen, Rep.",YEM,1.03983180862549,1.03983180862549,1.03983180862549,1.03983180862549,1.03983180862549,1.03983180862549,1.03983180862549,1.03983180862549,1.03983180862549,1.03983180862549,1.03983180862549,..
Forest area (% of land area),AG.LND.FRST.ZS,Zambia,ZMB,63.7780976338127,63.2965199962335,62.0555293991041,61.8023917459207,61.5492540927373,61.2959550168821,61.0428846231453,60.789706614294,60.5365151535533,60.283337144702,60.0301501230848,..
Forest area (% of land area),AG.LND.FRST.ZS,Zimbabwe,ZWE,48.6666149670415,47.4757141010728,45.9275429753134,45.8084528887166,45.6893628021197,45.5702727155228,45.4511826289259,45.3320925423291,45.2130024557322,45.0939123691353,44.9748222825385,..
Forest area (% of land area),AG.LND.FRST.ZS,Africa Eastern and Southern,AFE,36.2300057282616,34.71747317438,31.6806350481134,31.4706339393903,31.2604198312,31.0396815405574,30.8243162200106,30.6115117598975,30.3916259482678,30.1742527100624,29.9551940597337,..
Forest area (% of land area),AG.LND.FRST.ZS,Africa Western and Central,AFW,22.7769081273257,21.5952835465819,20.4101430722392,20.3221869203098,20.2342307683804,20.1526101563381,20.0713271823989,19.9860995956125,19.9012147100637,19.8167774053141,19.7320365324224,..
Forest area (% of land area),AG.LND.FRST.ZS,Arab World,ARB,3.73176718416628,3.55107188950229,2.93793699681367,2.91945174695356,2.90093803852791,2.88332326122098,2.86394290918001,2.84442046915972,2.82662078765584,2.80889526080167,2.79112084453801,..
Forest area (% of land area),AG.LND.FRST.ZS,Caribbean small states,CSS,91.385056193652,90.8330739780165,90.3138347536125,90.2404050883043,90.1669754229962,90.0970482894899,90.0371248610597,89.9650240829937,89.8928245029023,89.8207237248364,89.7485567494134,..
Forest area (% of land area),AG.LND.FRST.ZS,Central Europe and the Baltics,CEB,27.7038335099302,32.4694719942369,34.099423226925,34.2084078995082,34.3399778411909,34.3939142269346,34.4710840221623,34.5008820276483,34.5318870374642,34.5592847264491,34.5892800367668,..
Forest area (% of land area),AG.LND.FRST.ZS,Early-demographic dividend,EAR,26.0815374480649,24.3187613654874,23.3033362207688,23.2126962342823,23.1177104152123,23.0717668798697,22.9822787602442,22.9145954089095,22.8489952478132,22.7839872334024,22.7079792445322,..
Forest area (% of land area),AG.LND.FRST.ZS,East Asia & Pacific,EAS,26.268204752678,26.0484255580453,26.8738004574468,26.9247362823134,26.9760461602674,27.0866795018853,27.0860590597728,27.1167072640353,27.148011008033,27.1798473794798,27.1947367886103,..
Forest area (% of land area),AG.LND.FRST.ZS,East Asia & Pacific (excluding high income),EAP,29.1182836938866,28.8803677684405,30.1535616108764,30.1878623600017,30.2228214238407,30.3506195584455,30.3515394339169,30.3995511660506,30.4475289991765,30.4950957795128,30.514377554444,..
Forest area (% of land area),AG.LND.FRST.ZS,East Asia & Pacific (IDA & IBRD countries),TEA,28.9027083833819,28.6925500098254,29.9929336075923,30.0288363604178,30.0653988863597,30.1955018764199,30.1977661920145,30.2474800867242,30.2971600901202,30.3464279431611,30.3673334512939,..
Forest area (% of land area),AG.LND.FRST.ZS,Euro area,EMU,33.4226254644256,36.5090185462615,38.1994095165941,38.2815000186917,38.3717756316336,38.425885205731,38.5037696116035,38.5604198624425,38.6181750236607,38.675210995879,38.7299712042686,..
Forest area (% of land area),AG.LND.FRST.ZS,Europe & Central Asia,ECS,..,37.8663163109277,38.3863520608341,38.4078744900424,38.4228418329078,38.4444268273231,38.4690523825106,38.4850775104367,38.5023002460649,38.5249655406362,38.5416632681328,..
Forest area (% of land area),AG.LND.FRST.ZS,Europe & Central Asia (excluding high income),ECA,..,39.0461017063471,39.4316357440837,39.444105366303,39.4460850929443,39.4632904974101,39.4824233566487,39.4945720189028,39.506948381983,39.5250222070037,39.5372115885239,..
Forest area (% of land area),AG.LND.FRST.ZS,Europe & Central Asia (IDA & IBRD countries),TEC,..,38.7926408376561,39.2010410312858,39.2172945938649,39.2234378060618,39.2421666752289,39.2616544516438,39.2741558748129,39.2869462481332,39.3051266358553,39.317684732671,..
